Date	Price
1993-07-01	713.79
1993-08-01	752.54
1993-09-01	732.84
1993-10-01	806.22
1993-11-01	952.54
1993-12-01	974.24
1994-01-01	"1,127.17"
1994-02-01	"1,375.12"
1994-03-01	"1,190.33"
1994-04-01	"1,050.85"
1994-05-01	"1,014.93"
1994-06-01	981.73
1994-07-01	976.47
1994-08-01	"1,048.58"
1994-09-01	"1,143.23"
1994-10-01	"1,093.65"
1994-11-01	"1,079.03"
1994-12-01	986.73
1995-01-01	959.98
1995-02-01	812.42
1995-03-01	834.88
1995-04-01	745.14
1995-05-01	693.8
1995-06-01	739.07
1995-07-01	744.45
1995-08-01	721.09
1995-09-01	654.83
1995-10-01	655.16
1995-11-01	655.87
1995-12-01	663.73
1996-01-01	666.6
1996-02-01	671.02
1996-03-01	677.17
1996-04-01	650.89
1996-05-01	647.52
1996-06-01	594.47
1996-07-01	555.16
1996-08-01	559.24
1996-09-01	580.7
1996-10-01	608.49
1996-11-01	606.87
1996-12-01	602.97
1997-01-01	621.63
1997-02-01	620.5
1997-03-01	637.5
1997-04-01	739.6
1997-05-01	732
1997-06-01	791.9
1997-07-01	869.7
1997-08-01	814.8
1997-09-01	779.9
1997-10-01	728.5
1997-11-01	671.4
1997-12-01	702.2
1998-01-01	662.1
1998-02-01	694.9
1998-03-01	712.8
1998-04-01	782
1998-05-01	682.3
1998-06-01	580.9
1998-07-01	596.3
1998-08-01	496
1998-09-01	499.1
1998-10-01	498.9
1998-11-01	575.3
1998-12-01	597.3
1999-01-01	572.7
1999-02-01	569.1
1999-03-01	534.6
1999-04-01	548.7
1999-05-01	546.8
1999-06-01	517.6
1999-07-01	571.1
1999-08-01	561.4
1999-09-01	568.7
1999-10-01	531.3
1999-11-01	554.5
1999-12-01	572.5
2000-01-01	555.5
2000-02-01	541.5
2000-03-01	494.5
2000-04-01	476.5
2000-05-01	478.5
2000-06-01	513.6
2000-07-01	510.7
2000-08-01	496.7
2000-09-01	523.3
2000-10-01	494
2000-11-01	434.4
2000-12-01	447.6
2001-01-01	439.5
2001-02-01	442.4
2001-03-01	423.6
2001-04-01	416.4
2001-05-01	420.8
2001-06-01	428
2001-07-01	418.8
2001-08-01	407.3
2001-09-01	403.6
2001-10-01	505.6
2001-11-01	537.5
2001-12-01	621
2002-01-01	562.2
2002-02-01	603.8
2002-03-01	617.6
2002-04-01	617.2
2002-05-01	684.73
2002-06-01	711.4
2002-07-01	700
2002-08-01	752.1
2002-09-01	856.5
2002-10-01	820.3
2002-11-01	802.4
2002-12-01	815.1
2003-01-01	793.5
2003-02-01	748.5
2003-03-01	739
2003-04-01	824.4
2003-05-01	858.7
2003-06-01	"1,048.90"
2003-07-01	"1,045.80"
2003-08-01	"1,082.60"
2003-09-01	"1,292.40"
2003-10-01	"1,416.40"
2003-11-01	"1,206.30"
2003-12-01	"1,062.10"
2004-01-01	"1,211.11"
2004-02-01	"1,224.92"
2004-03-01	"1,284.22"
2004-04-01	"1,212.34"
2004-05-01	"1,319.25"
2004-06-01	"1,358.47"
2004-07-01	"1,454.36"
2004-08-01	"1,370.43"
2004-09-01	"1,450.82"
2004-10-01	"1,534.42"
2004-11-01	"1,499.41"
2004-12-01	"1,506.89"
2005-01-01	"1,650.72"
2005-02-01	"1,715.14"
2005-03-01	"1,751.88"
2005-04-01	"1,829.62"
2005-05-01	"1,936.13"
2005-06-01	"1,897.78"
2005-07-01	"2,047.21"
2005-08-01	"2,145.02"
2005-09-01	"2,434.42"
2005-10-01	"2,516.47"
2005-11-01	"2,292.46"
2005-12-01	"1,922.21"
2006-01-01	"2,138.97"
2006-02-01	"2,212.69"
2006-03-01	"2,264.36"
2006-04-01	"2,263.44"
2006-05-01	"2,203.82"
2006-06-01	"2,114.37"
2006-07-01	"2,196.01"
2006-08-01	"2,199.97"
2006-09-01	"2,383.40"
2006-10-01	"2,454.25"
2006-11-01	"2,777.73"
2006-12-01	"2,722.36"
2007-01-01	"2,924.25"
2007-02-01	"2,982.89"
2007-03-01	"2,789.81"
2007-04-01	"2,811.29"
2007-05-01	"2,508.30"
2007-06-01	"2,572.20"
2007-07-01	"2,442.11"
2007-08-01	"2,526.59"
