Date	Price
2007-09-01	"2,556.62"
2007-10-01	"2,615.23"
2007-11-01	"2,560.16"
2007-12-01	"2,540.99"
2008-01-01	"2,446.13"
2008-02-01	"2,530.86"
2008-03-01	"2,550.47"
2008-04-01	"2,632.96"
2008-05-01	"2,538.37"
2008-06-01	"2,457.84"
2008-07-01	"2,463.41"
2008-08-01	"2,408.64"
2008-09-01	"2,142.26"
2008-10-01	"1,821.53"
2008-11-01	"1,639.94"
2008-12-01	"1,503.02"
2009-01-01	"1,821.24"
2009-02-01	"1,694.14"
2009-03-01	"1,638.06"
2009-04-01	"1,838.45"
2009-05-01	"2,215.96"
2009-06-01	"2,432.15"
2009-07-01	"2,525.70"
2009-08-01	"2,607.65"
2009-09-01	"2,938.64"
2009-10-01	"2,976.93"
2009-11-01	"2,913.39"
2009-12-01	"3,385.55"
2010-01-01	"3,636.41"
2010-02-01	"3,807.86"
2010-03-01	"3,724.59"
2010-04-01	"4,188.88"
2010-05-01	"4,237.16"
2010-06-01	"4,612.46"
2010-07-01	"5,161.18"
2010-08-01	"5,658.01"
2010-09-01	"6,997.22"
2010-10-01	"6,678.05"
2010-11-01	"6,434.85"
2010-12-01	"6,635.87"
2011-01-01	"7,174.87"
2011-02-01	"7,797.96"
2011-03-01	"7,226.12"
2011-04-01	"7,356.97"
2011-05-01	"7,418.07"
2011-06-01	"6,825.94"
2011-07-01	"6,845.38"
2011-08-01	"6,879.29"
2011-09-01	"6,783.55"
2011-10-01	"6,319.25"
2011-11-01	"6,087.40"
2011-12-01	"6,074.42"
2012-01-01	"5,693.92"
2012-02-01	"5,458.09"
2012-03-01	"5,420.20"
2012-04-01	"5,419.20"
2012-05-01	"4,832.15"
2012-06-01	"4,965.77"
2012-07-01	"4,944.86"
2012-08-01	"5,180.15"
2012-09-01	"5,971.99"
2012-10-01	"5,513.64"
2012-11-01	"5,351.25"
2012-12-01	"5,643.00"
2013-01-01	"5,816.89"
2013-02-01	"5,635.90"
2013-03-01	"5,735.68"
2013-04-01	"5,953.19"
2013-05-01	"6,463.06"
2013-06-01	"6,121.01"
2013-07-01	"6,037.22"
2013-08-01	"5,834.04"
2013-09-01	"5,803.32"
2013-10-01	"5,954.62"
2013-11-01	"5,775.09"
2013-12-01	"5,912.78"
2014-01-01	"6,248.08"
2014-02-01	"5,940.31"
2014-03-01	"5,968.31"
2014-04-01	"6,223.67"
2014-05-01	"6,263.46"
2014-06-01	"6,378.62"
2014-07-01	"6,813.90"
2014-08-01	"7,034.09"
2014-09-01	"7,252.14"
2014-10-01	"7,326.81"
2014-11-01	"7,153.90"
2014-12-01	"7,298.95"
2015-01-01	"7,180.05"
2015-02-01	"7,301.29"
2015-03-01	"6,820.34"
2015-04-01	"7,179.00"
2015-05-01	"7,220.29"
2015-06-01	"7,020.80"
2015-07-01	"7,332.05"
2015-08-01	"7,306.94"
2015-09-01	"7,050.87"
2015-10-01	"7,042.06"
2015-11-01	"6,909.15"
2015-12-01	"6,894.50"
2016-01-01	"6,340.05"
2016-02-01	"6,191.81"
2016-03-01	"6,079.15"
2016-04-01	"6,516.26"
2016-05-01	"6,550.51"
2016-06-01	"6,283.27"
2016-07-01	"6,393.87"
2016-08-01	"6,528.21"
2016-09-01	"6,534.77"
2016-10-01	"6,409.23"
2016-11-01	"6,241.10"
2016-12-01	"6,228.26"
2017-01-01	"6,132.68"
2017-02-01	"6,134.28"
2017-03-01	"6,061.94"
2017-04-01	"6,610.46"
2017-05-01	"6,674.32"
2017-06-01	"6,747.07"
2017-07-01	"6,637.39"
2017-08-01	"6,390.74"
2017-09-01	"6,438.24"
2017-10-01	"6,617.36"
2017-11-01	"6,411.84"
2017-12-01	"6,369.26"
2018-01-01	"6,476.41"
2018-02-01	"6,551.78"
2018-03-01	"6,476.78"
2018-04-01	"6,531.06"
2018-05-01	"6,398.44"
2018-06-01	"6,194.63"
2018-07-01	"6,147.27"
2018-08-01	"6,080.26"
2018-09-01	"5,862.18"
2018-10-01	"5,953.47"
2018-11-01	"5,992.70"
2018-12-01	"6,052.37"
2019-01-01	"5,989.90"
2019-02-01	"5,816.29"
2019-03-01	"5,557.24"
2019-04-01	"5,478.41"
2019-05-01	"5,310.95"
2019-06-01	"5,372.28"
2019-07-01	"5,935.34"
2019-08-01	"5,889.86"
2019-09-01	"5,738.24"
2019-10-01	"5,990.24"
2019-11-01	"6,211.97"
2019-12-01	"6,129.21"
2020-01-01	"5,929.76"
2020-02-01	"5,592.92"
2020-03-01	"4,571.63"
2020-04-01	"4,571.63"
2020-05-01	"4,846.76"
2020-06-01	"5,149.57"
2020-07-01	"5,124.26"
2020-08-01	"5,329.33"
2020-09-01	"5,984.84"
2020-10-01	"5,726.59"
2020-11-01	"6,243.76"
2020-12-01	"6,774.22"
2021-01-01	"8,668.07"
2021-02-01	"7,476.34"
2021-03-01	"7,121.28"
2021-04-01	"7,208.20"
2021-05-01	"7,403.44"
2021-06-01	"7,837.76"
2021-07-01	"8,120.48"
2021-08-01	"8,997.60"
2021-09-01	"9,459.94"
2021-10-01	"10,162.93"
2021-11-01	"11,440.53"
2021-12-01	"12,226.01"
2022-01-01	"13,009.50"
2022-02-01	"11,577.94"
2022-03-01	"8,903.87"
2022-04-01	"7,624.26"
2022-05-01	"8,108.09"
2022-06-01	"7,342.33"
2022-07-01	"7,731.15"
2022-08-01	"9,071.32"
2022-09-01	"9,931.07"
2022-10-01	"8,602.16"
2022-11-01	"8,651.23"
2022-12-01	"8,502.49"
2023-01-01	"8,865.05"
2023-02-01	"9,188.48"
2023-03-01	"9,301.09"
2023-04-01	"8,983.21"
2023-05-01	"8,555.17"
2023-06-01	"9,442.95"
2023-07-01	"11,386.72"
2023-08-01	"11,279.03"
